state,year,metric,value
Andhra Pradesh,2013,Capital: Internal Debt,23949.84
Andhra Pradesh,2013,Capital: Loan Recoveries,574.94
Andhra Pradesh,2013,Capital: Loans from Centre,1342.28
Andhra Pradesh,2013,Capital: Misc Receipts,8.6
Andhra Pradesh,2013,Capital: Public Debt Receipts,25292.12
Andhra Pradesh,2013,Grants in Aid,8990.56
Andhra Pradesh,2013,Non-Debt Capital Receipts,583.5400000000001
Andhra Pradesh,2013,Non-Tax Revenue,15472.86
Andhra Pradesh,2013,SOTR,64123.54
Andhra Pradesh,2013,Share in Union Taxes,22131.88
Andhra Pradesh,2013,Total Revenue Receipts,110718.84
Andhra Pradesh,2014,Capital: Internal Debt,32307.7
Andhra Pradesh,2014,Capital: Loan Recoveries,5092.03
Andhra Pradesh,2014,Capital: Loans from Centre,696.82
Andhra Pradesh,2014,Capital: Misc Receipts,0.0
Andhra Pradesh,2014,Capital: Public Debt Receipts,33004.52
Andhra Pradesh,2014,Grants in Aid,21779.21
Andhra Pradesh,2014,Motor Vehicle Tax,3687.0
Andhra Pradesh,2014,Non-Debt Capital Receipts,5092.03
Andhra Pradesh,2014,Non-Tax Revenue,10975.98
Andhra Pradesh,2014,SGST,0.0
Andhra Pradesh,2014,SOTR,42568.65
Andhra Pradesh,2014,Sales/Trade Tax,30524.0
Andhra Pradesh,2014,Share in Union Taxes,15348.62
Andhra Pradesh,2014,Stamps & Registration,3249.0
Andhra Pradesh,2014,State Excise,4352.0
Andhra Pradesh,2014,Total Revenue Receipts,90672.46
Andhra Pradesh,2015,Capital: Internal Debt,52996.63
Andhra Pradesh,2015,Capital: Loan Recoveries,284.63
Andhra Pradesh,2015,Capital: Loans from Centre,685.17
Andhra Pradesh,2015,Capital: Misc Receipts,0.0
Andhra Pradesh,2015,Capital: Public Debt Receipts,53681.8
Andhra Pradesh,2015,Grants in Aid,21927.47
Andhra Pradesh,2015,Motor Vehicle Tax,2082.43
Andhra Pradesh,2015,Non-Debt Capital Receipts,284.63
Andhra Pradesh,2015,Non-Tax Revenue,4920.01
Andhra Pradesh,2015,SGST,0.0
Andhra Pradesh,2015,SOTR,39906.54
Andhra Pradesh,2015,Sales/Trade Tax,29104.23
Andhra Pradesh,2015,Share in Union Taxes,21893.79
Andhra Pradesh,2015,Stamps & Registration,3527.15
Andhra Pradesh,2015,State Excise,4385.92
Andhra Pradesh,2015,Total Revenue Receipts,88647.81
Andhra Pradesh,2016,Capital: Internal Debt,59108.41
Andhra Pradesh,2016,Capital: Loan Recoveries,2029.49
Andhra Pradesh,2016,Capital: Loans from Centre,814.25
Andhra Pradesh,2016,Capital: Misc Receipts,0.0
Andhra Pradesh,2016,Capital: Public Debt Receipts,59922.66
Andhra Pradesh,2016,Grants in Aid,23346.39
Andhra Pradesh,2016,Motor Vehicle Tax,2467.08
Andhra Pradesh,2016,Non-Debt Capital Receipts,2029.49
Andhra Pradesh,2016,Non-Tax Revenue,5192.84
Andhra Pradesh,2016,SGST,0.0
Andhra Pradesh,2016,SOTR,44181.39
Andhra Pradesh,2016,Sales/Trade Tax,32484.07
Andhra Pradesh,2016,Share in Union Taxes,26263.88
Andhra Pradesh,2016,Stamps & Registration,3475.99
Andhra Pradesh,2016,State Excise,4644.66
Andhra Pradesh,2016,Total Revenue Receipts,98984.5
Andhra Pradesh,2017,Capital: Internal Debt,73116.67
Andhra Pradesh,2017,Capital: Loan Recoveries,50.52
Andhra Pradesh,2017,Capital: Loans from Centre,946.79
Andhra Pradesh,2017,Capital: Misc Receipts,0.0
Andhra Pradesh,2017,Capital: Public Debt Receipts,74063.46
Andhra Pradesh,2017,FC Grant: Health,0.0
Andhra Pradesh,2017,FC Grant: Others,0.0
Andhra Pradesh,2017,FC Grant: Revenue Deficit,4430.0
Andhra Pradesh,2017,FC Grant: Rural Local Bodies,2180.83
Andhra Pradesh,2017,FC Grant: SDMF,0.0
Andhra Pradesh,2017,FC Grant: SDRF,363.75
Andhra Pradesh,2017,FC Grant: Urban Local Bodies,0.0
Andhra Pradesh,2017,Grants in Aid,22760.71
