metric,bihar_crore,peer_avg_crore,gap_absolute_crore,bihar_per_capita_rupees,peer_avg_per_capita_rupees,gap_per_capita_rupees,hypothetical_bihar_crore,opportunity_crore,bihar_cagr,national_cagr,start_year,end_year,rank_absolute,rank_per_capita,bihar_pct_of_sotr,peer_avg_pct_of_sotr,difference_pp
Total Revenue Receipts,193347.23,228482.13999999998,35134.909999999974,18573.31871449237,29428.571558162337,10855.252843669969,306349.8172347485,113002.5872347485,0.10866444346333126,0.10949233509925493,2013,2023,9,28,,,
SOTR,48360.69,91726.07833333332,43365.38833333332,4645.62387898065,11199.586737246858,6553.962858266208,116587.08419738659,68226.39419738659,0.09252583523412539,0.10285804380480235,2013,2023,14,27,,,
Share in Union Taxes,113604.49,88802.67666666668,-24801.813333333324,10913.072818097064,10849.147704296347,-63.925113800716645,112939.03306843078,-665.4569315692206,0.12549951436265605,0.13651066636023135,2013,2023,2,16,,,
Grants in Aid,26125.0,27531.85255,1406.8525499999996,2509.619358995281,3507.232863468877,997.6135044735961,36510.10191235009,10385.101912350088,0.0757804692415267,0.0941638736626349,2013,2023,5,27,,,
Non-Tax Revenue,5257.05,20421.533166666664,15164.483166666665,505.0026584193738,3872.6042963208542,3367.6016379014804,40313.59850598466,35056.548505984654,0.13028025596108628,0.09166553847929548,2013,2023,17,27,,,
SGST,27677.6,38016.09333333333,10338.493333333332,2658.765196958001,4737.841280625983,2079.076083667982,49320.6680976143,21643.068097614305,,,2014,2023,13,28,59.19707855906778,45.98779827223813,13.209280286829653
Sales/Trade Tax,9370.87,17322.638333333332,7951.768333333332,900.1843736891143,2311.8580572778606,1411.6736835887464,24066.315686440987,14695.445686440986,0.009490476815435134,-0.022912015255886486,2014,2023,14,27,20.042493841836414,22.04810606210671,-2.0056122202702973
Stamps & Registration,6347.64,9427.608333333332,3079.9683333333314,609.7668986768538,962.4451593318076,352.6782606549539,10019.001366649387,3671.3613666493866,0.09966132618467682,0.11231760920462164,2014,2023,12,19,13.576384648404524,9.153895637546745,4.422489010857779
State Excise,1.15,16636.39,16635.239999999998,0.110471282788309,1745.5368914330277,1745.4264201502394,18170.943384396167,18169.793384396165,-0.5859681793586419,0.11988562177461004,2014,2023,28,28,0.0024596294600300584,16.8724778057997,-16.87001817633967
Motor Vehicle Tax,3357.75,5089.5650000000005,1731.8150000000005,322.55213024560396,618.4648440962211,295.91271385061714,6438.185135168205,3080.4351351682053,0.1487911099950614,0.11051291220513604,2014,2023,13,27,7.181583321231242,5.937722222308715,1.243861098922527
